"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"062 Crosskeys, Co. Meath",323,326,162,164,3,0.9
 ,"063 Killallon, Co. Meath",270,298,154,144,28,10.4
 ,"064 Killeagh, Co. Meath",382,426,221,205,44,11.5
 ,"065 Knocklough, Co. Meath",216,212,103,109,-4,-1.9
 ,"066 Moylagh, Co. Meath",416,395,202,193,-21,-5
 ,"067 Oldcastle, Co. Meath",2324,2301,1173,1128,-23,-1
 ,"068 Stonefield, Co. Meath",237,214,110,104,-23,-9.7
 ,"Trim rural area, Co. Meath",32313,34491,17074,17417,2178,6.7
 ,"069 Ardnamullan, Co. Meath",842,856,440,416,14,1.7
 ,"070 Baile Átha Buí, Co. Meath",2531,2585,1271,1314,54,2.1
 ,"071 Ballyboggan, Co. Meath",536,526,273,253,-10,-1.9
 ,"072 Ballyconnell, Co. Meath",714,742,371,371,28,3.9
 ,"073 Castlejordan, Co. Meath",471,426,222,204,-45,-9.6
 ,"074 Castlerickard, Co. Meath",1852,2119,1023,1096,267,14.4
 ,"075 Cloghbrack, Co. Meath",503,503,261,242,0,0
 ,"076 Clonmacduff, Co. Meath",468,480,227,253,12,2.6
 ,"077 Gallow, Co. Meath",909,957,485,472,48,5.3
 ,"078 Galtrim, Co. Meath",666,755,387,368,89,13.4
 ,"079 Grennanstown, Co. Meath",1201,1258,621,637,57,4.7
 ,"080 Hill of Down, Co. Meath",507,550,281,269,43,8.5
 ,"081 Innfield, Co. Meath",4006,4347,2140,2207,341,8.5
 ,"082 Cill Bhríde, Co. Meath",450,468,221,247,18,4
 ,"083 Kilcooly, Co. Meath",323,359,173,186,36,11.1
 ,"084 Kildalky, Co. Meath",1232,1301,654,647,69,5.6
 ,"085 Killaconnigan, Co. Meath",2094,2227,1098,1129,133,6.4
 ,"086 Killyon, Co. Meath",518,532,270,262,14,2.7
 ,"087 Laracor, Co. Meath",570,611,303,308,41,7.2
 ,"088 Rahinstown, Co. Meath",488,496,248,248,8,1.6
 ,"089 Rathmolyon, Co. Meath",1330,1408,716,692,78,5.9
 ,"090 An Ráth Mhór, Co. Meath",970,1026,520,506,56,5.8
 ,"091 Summerhill, Co. Meath",1299,1336,660,676,37,2.8
 ,"092 Trim Rural (Part Rural), Co. Meath",7833,8623,4209,4414,790,10.1
 ,Offaly,76687,78003,38896,39107,1316,1.7
 ,"Birr Town, Co. Offaly",4428,4411,2119,2292,-17,-0.4
 ,"001 Birr Urban, Co. Offaly",4428,4411,2119,2292,-17,-0.4
 ,"Tullamore Town, Co. Offaly",11346,11444,5544,5900,98,0.9
 ,"002 Tullamore Urban, Co. Offaly",11346,11444,5544,5900,98,0.9
 ,"Birr No. 1 rural area, Co. Offaly",16560,16546,8332,8214,-14,-0.1
 ,"003 Ballycumber, Co. Offaly",736,734,356,378,-2,-0.3
 ,"004 Banagher, Co. Offaly",1993,2123,1073,1050,130,6.5
 ,"005 Birr Rural, Co. Offaly",1288,1222,603,619,-66,-5.1
 ,"006 Broughal, Co. Offaly",120,116,67,49,-4,-3.3
 ,"007 Cloghan, Co. Offaly",983,979,490,489,-4,-0.4
 ,"008 Clonmacnoise, Co. Offaly",337,341,171,170,4,1.2
 ,"009 Derrinboy, Co. Offaly",300,303,168,135,3,1
 ,"010 Derryad, Co. Offaly",248,252,122,130,4,1.6
 ,"011 Doon, Co. Offaly",457,464,240,224,7,1.5
 ,"012 Dromoyle, Co. Offaly",323,335,169,166,12,3.7
 ,"013 Drumcullen, Co. Offaly",354,398,205,193,44,12.4
 ,"014 Eglish, Co. Offaly",145,146,81,65,1,0.7
 ,"015 Ferbane, Co. Offaly",1222,1219,609,610,-3,-0.2
 ,"016 Gallen, Co. Offaly",575,542,280,262,-33,-5.7
 ,"017 Hinds, Co. Offaly",309,307,149,158,-2,-0.6
 ,"018 Huntston, Co. Offaly",348,357,185,172,9,2.6
 ,"019 Kilcolman, Co. Offaly",385,375,189,186,-10,-2.6
 ,"020 Kilcormac, Co. Offaly",1304,1386,674,712,82,6.3
 ,"021 Killyon, Co. Offaly",275,256,128,128,-19,-6.9
 ,"022 Kinnitty, Co. Offaly",512,542,278,264,30,5.9
 ,"023 Knockbarron, Co. Offaly",174,129,62,67,-45,-25.9
 ,"024 Lea, Co. Offaly",367,346,179,167,-21,-5.7
 ,"025 Letter, Co. Offaly",167,158,75,83,-9,-5.4
 ,"026 Lumcloon, Co. Offaly",360,342,180,162,-18,-5
 ,"027 Lusmagh, Co. Offaly",544,538,263,275,-6,-1.1
 ,"028 Mounterin, Co. Offaly",252,248,121,127,-4,-1.6
 ,"029 Moyclare, Co. Offaly",626,640,324,316,14,2.2
 ,"030 Seirkieran, Co. Offaly",490,466,251,215,-24,-4.9
 ,"031 Shannonbridge, Co. Offaly",299,265,146,119,-34,-11.4
 ,"032 Shannonharbour, Co. Offaly",334,314,151,163,-20,-6
 ,"033 Srah, Co. Offaly",733,703,343,360,-30,-4.1
 ,"Edenderry No. 1 rural area, Co. Offaly",13481,14104,7053,7051,623,4.6
 ,"034 Ballaghassaan, Co. Offaly",47,58,31,27,11,23.4
 ,"035 Ballyburly, Co. Offaly",1325,1362,652,710,37,2.8
 ,"036 Ballymacwilliam, Co. Offaly",646,635,322,313,-11,-1.7
 ,"037 Bracknagh, Co. Offaly",1012,1052,532,520,40,4
 ,"038 Clonbulloge, Co. Offaly",745,771,386,385,26,3.5
 ,"039 Clonmore, Co. Offaly",420,438,218,220,18,4.3
 ,"040 Croghan, Co. Offaly",526,547,284,263,21,4
 ,"041 Edenderry Rural, Co. Offaly",856,816,403,413,-40,-4.7
 ,"042 Edenderry Urban, Co. Offaly",6490,7003,3509,3494,513,7.9
 ,"043 Esker, Co. Offaly",394,419,211,208,25,6.3
 ,"044 Knockdrin, Co. Offaly",189,199,100,99,10,5.3
 ,"045 Monasteroris, Co. Offaly",831,804,405,399,-27,-3.2
 ,"Roscrea No. 2 rural area, Co. Offaly",4837,4903,2552,2351,66,1.4
 ,"046 Aghancon, Co. Offaly",374,378,194,184,4,1.1
 ,"047 Ballincor, Co. Offaly",158,157,83,74,-1,-0.6
 ,"048 Barna, Co. Offaly",156,164,82,82,8,5.1
 ,"049 Cangort, Co. Offaly",211,202,102,100,-9,-4.3
 ,"050 Cullenwaine, Co. Offaly",703,681,342,339,-22,-3.1
 ,"051 Dunkerrin, Co. Offaly",358,358,199,159,0,0
 ,"052 Ettagh, Co. Offaly",487,522,249,273,35,7.2
 ,"053 Gorteen, Co. Offaly",299,282,147,135,-17,-5.7
 ,"054 Mountheaton, Co. Offaly",672,693,436,257,21,3.1
 ,"055 Roscomroe, Co. Offaly",149,153,74,79,4,2.7
 ,"056 Shinrone, Co. Offaly",949,975,463,512,26,2.7
 ,"057 Templeharry, Co. Offaly",212,229,122,107,17,8
 ,"058 Tulla, Co. Offaly",109,109,59,50,0,0
 ,"Tullamore rural area, Co. Offaly",26035,26595,13296,13299,560,2.2
 ,"059 Ballycommon, Co. Offaly",561,718,441,277,157,28
 ,"060 Ballyshear, Co. Offaly",381,396,214,182,15,3.9
 ,"061 Bawn, Co. Offaly",378,359,189,170,-19,-5
 ,"062 Cappancur, Co. Offaly",1490,1528,749,779,38,2.6
 ,"063 Clara, Co. Offaly",3894,3967,1924,2043,73,1.9
 ,"064 Clonygowan, Co. Offaly",535,566,269,297,31,5.8
 ,"065 Daingean, Co. Offaly",1462,1489,737,752,27,1.8
 ,"066 Derrycooley, Co. Offaly",293,269,135,134,-24,-8.2
 ,"067 Durrow, Co. Offaly",741,759,379,380,18,2.4
 ,"068 Geashill, Co. Offaly",1617,1607,802,805,-10,-0.6
 ,"069 Gorteen, Co. Offaly",361,357,169,188,-4,-1.1
 ,"070 Hammerlane, Co. Offaly",564,558,291,267,-6,-1.1
 ,"071 Kilclonfert, Co. Offaly",364,368,186,182,4,1.1
 ,"072 Kilcumreragh, Co. Offaly",522,530,258,272,8,1.5
 ,"073 Killeigh, Co. Offaly",1257,1232,629,603,-25,-2
 ,"074 Killooly, Co. Offaly",270,270,150,120,0,0
 ,"075 Killoughy, Co. Offaly",651,716,371,345,65,10
 ,"076 Mountbriscoe, Co. Offaly",253,242,127,115,-11,-4.3
 ,"077 O'Dempsey, Co. Offaly",160,166,80,86,6,3.8
 ,"078 Portarlington North, Co. Offaly",2366,2405,1162,1243,39,1.6
 ,"079 Rahan, Co. Offaly",720,716,369,347,-4,-0.6
 ,"080 Raheenakeeran, Co. Offaly",424,399,205,194,-25,-5.9
 ,"081 Rathfeston, Co. Offaly",440,432,212,220,-8,-1.8
 ,"082 Rathrobin, Co. Offaly",403,401,206,195,-2,-0.5
 ,"083 Screggan, Co. Offaly",1462,1456,710,746,-6,-0.4
 ,"084 Silverbrook, Co. Offaly",717,762,383,379,45,6.3
 ,"085 Tinamuck, Co. Offaly",261,274,144,130,13,5
 ,"086 Tinnycross, Co. Offaly",458,437,218,219,-21,-4.6
 ,"087 Tullamore Rural, Co. Offaly",3030,3216,1587,1629,186,6.1
 ,Westmeath,86164,88396,43897,44499,2232,2.6
 ,"Athlone Town, Co. Westmeath",15268,15686,7865,7821,418,2.7
 ,"001 Athlone East Urban, Co. Westmeath",4131,4290,2189,2101,159,3.8
 ,"002 Athlone West Urban, Co. Westmeath",3165,3243,1583,1660,78,2.5
 ,"003 Athlone East Rural (Part Urban), Co. Westmeath",6826,6871,3469,3402,45,0.7
 ,"014 Moydrum (Part Urban), Co. Westmeath",1146,1282,624,658,136,11.9
 ,"Athlone No. 1 rural area, Co. Westmeath",11446,11636,5829,5807,190,1.7
 ,"003 Athlone East Rural (Part Rural), Co. Westmeath",481,482,246,236,1,0.2
 ,"004 Auburn, Co. Westmeath",712,723,362,361,11,1.5
 ,"005 Ballybroder, Co. Westmeath",239,247,125,122,8,3.3
 ,"006 Bellanalack, Co. Westmeath",563,581,295,286,18,3.2
 ,"007 Carn, Co. Westmeath",751,772,392,380,21,2.8
 ,"008 Castledaly, Co. Westmeath",675,715,345,370,40,5.9
 ,"009 Glassan, Co. Westmeath",840,841,408,433,1,0.1
 ,"010 Kilcumreragh, Co. Westmeath",405,361,189,172,-44,-10.9
 ,"011 Killinure, Co. Westmeath",365,419,213,206,54,14.8
 ,"012 Moate, Co. Westmeath",3046,3088,1495,1593,42,1.4
 ,"013 Mount Temple, Co. Westmeath",617,646,320,326,29,4.7
 ,"014 Moydrum (Part Rural), Co. Westmeath",1648,1626,846,780,-22,-1.3
 ,"015 Muckanagh, Co. Westmeath",173,166,87,79,-7,-4
 ,"016 Tubbrit, Co. Westmeath",665,696,373,323,31,4.7
 ,"017 Umma, Co. Westmeath",266,273,133,140,7,2.6
 ,"Ballymore rural area, Co. Westmeath",2486,2498,1253,1245,12,0.5
 ,"018 Ardnagragh, Co. Westmeath",441,433,214,219,-8,-1.8
 ,"019 Ballymore, Co. Westmeath",668,734,356,378,66,9.9
 ,"020 Doonis, Co. Westmeath",239,234,119,115,-5,-2.1
 ,"021 Drumraney, Co. Westmeath",273,272,131,141,-1,-0.4
 ,"022 Noughaval, Co. Westmeath",413,399,206,193,-14,-3.4
 ,"023 Piercetown, Co. Westmeath",113,109,52,57,-4,-3.5
 ,"024 Templepatrick, Co. Westmeath",196,185,103,82,-11,-5.6
 ,"025 Winetown, Co. Westmeath",143,132,72,60,-11,-7.7
 ,"Coole rural area, Co. Westmeath",1897,1886,978,908,-11,-0.6
 ,"026 Boherquill, Co. Westmeath",155,153,77,76,-2,-1.3
 ,"027 Coole, Co. Westmeath",253,238,129,109,-15,-5.9
 ,"028 Coolure, Co. Westmeath",290,304,163,141,14,4.8
 ,"029 Finnea, Co. Westmeath",272,265,137,128,-7,-2.6
 ,"030 Glore, Co. Westmeath",193,185,95,90,-8,-4.1
 ,"031 Knockarrow, Co. Westmeath",113,111,57,54,-2,-1.8
 ,"032 Rathowen, Co. Westmeath",318,363,177,186,45,14.2
 ,"033 Street, Co. Westmeath",303,267,143,124,-36,-11.9
 ,"Delvin rural area, Co. Westmeath",8362,8673,4329,4344,311,3.7
 ,"034 Ballinlough, Co. Westmeath",134,163,80,83,29,21.6
 ,"035 Ballyhealy, Co. Westmeath",280,289,151,138,9,3.2
 ,"036 Ballynaskeagh, Co. Westmeath",268,277,131,146,9,3.4
 ,"037 Bracklin, Co. Westmeath",266,258,133,125,-8,-3
 ,"038 Clonarney, Co. Westmeath",500,505,251,254,5,1
 ,"039 Collinstown, Co. Westmeath",474,501,264,237,27,5.7
 ,"040 Copperalley, Co. Westmeath",271,270,143,127,-1,-0.4
 ,"041 Delvin, Co. Westmeath",1024,1076,507,569,52,5.1
 ,"042 Faughalstown, Co. Westmeath",236,234,116,118,-2,-0.8
 ,"043 Fore East, Co. Westmeath",409,391,209,182,-18,-4.4
 ,"044 Fore West, Co. Westmeath",399,384,203,181,-15,-3.8
 ,"045 Hilltown, Co. Westmeath",264,264,138,126,0,0
 ,"046 Kilcumny, Co. Westmeath",169,202,100,102,33,19.5
 ,"047 Killua, Co. Westmeath",1011,1053,509,544,42,4.2
 ,"048 Killulagh, Co. Westmeath",441,473,240,233,32,7.3
 ,"049 Kilpatrick, Co. Westmeath",222,211,101,110,-11,-5
 ,"050 Kinturk, Co. Westmeath",1241,1341,651,690,100,8.1
 ,"051 Riverdale, Co. Westmeath",426,469,243,226,43,10.1
 ,"052 Rosmead, Co. Westmeath",327,312,159,153,-15,-4.6
 ,"Mullingar rural area, Co. Westmeath",46705,48017,23643,24374,1312,2.8
 ,"053 Ardnaglew, Co. Westmeath",275,269,127,142,-6,-2.2
 ,"054 Ballinalack, Co. Westmeath",582,491,209,282,-91,-15.6
 ,"055 Ballykilmore, Co. Westmeath",707,734,371,363,27,3.8
 ,"056 Ballymorin, Co. Westmeath",316,326,168,158,10,3.2
 ,"057 Ballynagore, Co. Westmeath",533,528,263,265,-5,-0.9
 ,"058 Belvidere, Co. Westmeath",759,702,354,348,-57,-7.5
 ,"059 Carrick, Co. Westmeath",310,335,145,190,25,8.1
 ,"060 Castle, Co. Westmeath",902,872,424,448,-30,-3.3
 ,"061 Castlelost, Co. Westmeath",1718,1695,840,855,-23,-1.3
 ,"062 Castletown, Co. Westmeath",749,745,377,368,-4,-0.5
 ,"063 Churchtown, Co. Westmeath",313,343,176,167,30,9.6
 ,"064 Cloghan, Co. Westmeath",332,354,168,186,22,6.6
 ,"065 Clonfad, Co. Westmeath",632,637,310,327,5,0.8
 ,"066 Clonlost, Co. Westmeath",448,446,209,237,-2,-0.4
 ,"067 Derrymore, Co. Westmeath",272,273,141,132,1,0.4
 ,"068 Dysart, Co. Westmeath",250,236,113,123,-14,-5.6
 ,"069 Emper, Co. Westmeath",214,209,112,97,-5,-2.3
 ,"070 Enniscoffey, Co. Westmeath",409,447,220,227,38,9.3
 ,"071 Gaybrook, Co. Westmeath",444,445,211,234,1,0.2
 ,"072 Glenlough, Co. Westmeath",184,172,91,81,-12,-6.5
 ,"073 Greenpark, Co. Westmeath",251,258,127,131,7,2.8
 ,"074 Griffinstown, Co. Westmeath",558,573,296,277,15,2.7
 ,"075 Heathstown, Co. Westmeath",706,713,367,346,7,1
 ,"076 Hopestown, Co. Westmeath",588,559,277,282,-29,-4.9
 ,"077 Huntingdon, Co. Westmeath",401,428,223,205,27,6.7
 ,"078 Jamestown, Co. Westmeath",129,127,62,65,-2,-1.6
 ,"079 Kilbeggan, Co. Westmeath",1523,1606,830,776,83,5.4
 ,"080 Kilbixy, Co. Westmeath",612,605,304,301,-7,-1.1
 ,"081 Killare, Co. Westmeath",362,361,198,163,-1,-0.3
 ,"082 Killucan, Co. Westmeath",1682,1820,915,905,138,8.2
 ,"083 Kinnegad, Co. Westmeath",2830,2912,1425,1487,82,2.9
 ,"084 Knockdrim, Co. Westmeath",554,585,278,307,31,5.6
 ,"085 Lackan, Co. Westmeath",99,109,55,54,10,10.1
 ,"086 Lauree, Co. Westmeath",214,205,101,104,-9,-4.2
 ,"087 Middleton, Co. Westmeath",321,357,189,168,36,11.2
 ,"088 Milltown, Co. Westmeath",300,300,151,149,0,0
 ,"089 Mullingar Rural, Co. Westmeath",10356,10761,5213,5548,405,3.9
 ,"090 Mullingar North Urban, Co. Westmeath",5315,5599,2752,2847,284,5.3
 ,"091 Mullingar South Urban, Co. Westmeath",4099,4387,2133,2254,288,7
 ,"092 Multyfarnham, Co. Westmeath",605,630,301,329,25,4.1
 ,"093 Newtown, Co. Westmeath",216,234,117,117,18,8.3
 ,"094 Owel, Co. Westmeath",421,440,215,225,19,4.5
 ,"095 Portloman, Co. Westmeath",328,325,162,163,-3,-0.9
 ,"096 Raharney, Co. Westmeath",513,509,246,263,-4,-0.8
 ,"097 Rahugh, Co. Westmeath",297,273,139,134,-24,-8.1
 ,"098 Rathconrath, Co. Westmeath",355,352,172,180,-3,-0.8
 ,"099 Russellstown, Co. Westmeath",512,498,247,251,-14,-2.7
 ,"100 Skeagh, Co. Westmeath",243,246,126,120,3,1.2
 ,"101 Sonna, Co. Westmeath",298,316,146,170,18,6
 ,"102 Stonehall, Co. Westmeath",226,206,100,106,-20,-8.8
 ,"103 Streamstown, Co. Westmeath",362,377,201,176,15,4.1
 ,"104 Taghmon, Co. Westmeath",390,393,206,187,3,0.8
 ,"105 Tullaghan, Co. Westmeath",391,418,201,217,27,6.9
 ,"106 Woodland, Co. Westmeath",299,276,139,137,-23,-7.7
 ,Wexford,145320,149605,73632,75973,4285,2.9
 ,"Enniscorthy Town, Co. Wexford",2842,3105,1494,1611,263,9.3
 ,"001 Enniscorthy Urban, Co. Wexford",2384,2671,1282,1389,287,12
 ,"021 Enniscorthy Rural (Part Urban), Co. Wexford",458,434,212,222,-24,-5.2
 ,"New Ross Town, Co. Wexford",4533,4393,2192,2201,-140,-3.1
 ,"002 New Ross Urban, Co. Wexford",3907,3751,1842,1909,-156,-4
 ,"003 Rosbercon Urban, Co. Wexford",626,642,350,292,16,2.6
 ,"Wexford Borough, Co. Wexford",19913,20167,9764,10403,254,1.3
 ,"004 Wexford No. 1 Urban, Co. Wexford",1581,1612,792,820,31,2
 ,"005 Wexford No. 2 Urban, Co. Wexford",4126,4079,2011,2068,-47,-1.1
 ,"006 Wexford No. 3 Urban, Co. Wexford",1321,1241,611,630,-80,-6.1
 ,"092 Ardcavan (Part Urban), Co. Wexford",297,268,120,148,-29,-9.8
 ,"099 Carrick (Part Urban), Co. Wexford",360,320,160,160,-40,-11.1
 ,"100 Drinagh (Part Urban), Co. Wexford",180,189,98,91,9,5
 ,"117 Rathaspick (Part Urban), Co. Wexford",24,28,15,13,4,16.7
 ,"123 Wexford Rural (Part Urban), Co. Wexford",12024,12430,5957,6473,406,3.4
 ,"Enniscorthy rural area, Co. Wexford",37374,38373,19090,19283,999,2.7
 ,"007 Ballindaggan, Co. Wexford",806,803,389,414,-3,-0.4
 ,"008 Ballycarney, Co. Wexford",432,434,219,215,2,0.5
 ,"009 Ballyhoge, Co. Wexford",1216,1241,629,612,25,2.1
 ,"010 Ballyhuskard, Co. Wexford",1589,1579,807,772,-10,-0.6
 ,"011 Ballymore, Co. Wexford",450,486,247,239,36,8
 ,"012 Ballyvaldon, Co. Wexford",698,733,378,355,35,5
 ,"013 Bolaboy, Co. Wexford",1161,1235,606,629,74,6.4
 ,"014 Bree, Co. Wexford",1386,1359,697,662,-27,-1.9
 ,"015 Castleboro, Co. Wexford",860,942,472,470,82,9.5
 ,"016 Castledockrell, Co. Wexford",413,427,218,209,14,3.4
 ,"017 Castle Ellis, Co. Wexford",1094,1115,559,556,21,1.9
 ,"018 Castle Talbot, Co. Wexford",776,857,432,425,81,10.4
 ,"019 Clonroche, Co. Wexford",1286,1251,613,638,-35,-2.7
 ,"020 Edermine, Co. Wexford",1474,1481,713,768,7,0.5
 ,"021 Enniscorthy Rural (Part Rural), Co. Wexford",9119,9515,4633,4882,396,4.3
 ,"022 Ferns, Co. Wexford",1513,1557,758,799,44,2.9
 ,"023 Kilbora, Co. Wexford",390,381,187,194,-9,-2.3
 ,"024 Kilcormick, Co. Wexford",633,683,348,335,50,7.9
 ,"025 Killann, Co. Wexford",1001,1016,513,503,15,1.5
 ,"026 Kilmallock, Co. Wexford",1389,1445,700,745,56,4
 ,"027 Killoughrum, Co. Wexford",771,846,389,457,75,9.7
 ,"028 Kilrush, Co. Wexford",449,464,228,236,15,3.3
 ,"029 Kiltealy, Co. Wexford",461,457,233,224,-4,-0.9
 ,"030 Marshalstown, Co. Wexford",1073,1076,553,523,3,0.3
 ,"031 Moyacomb, Co. Wexford",444,407,218,189,-37,-8.3
 ,"032 Newtownbarry, Co. Wexford",2315,2273,1141,1132,-42,-1.8
 ,"033 Rossard, Co. Wexford",431,450,231,219,19,4.4
 ,"034 St. Mary's, Co. Wexford",664,699,358,341,35,5.3
 ,"035 The Harrow, Co. Wexford",475,467,244,223,-8,-1.7
 ,"036 The Leap, Co. Wexford",964,984,510,474,20,2.1
 ,"037 Tinnacross, Co. Wexford",952,981,499,482,29,3
 ,"038 Tombrack, Co. Wexford",689,729,368,361,40,5.8
 ,"Gorey rural area, Co. Wexford",30676,32902,16231,16671,2226,7.3
 ,"039 Ardamine, Co. Wexford",3293,3665,1770,1895,372,11.3
 ,"040 Balloughter, Co. Wexford",482,502,251,251,20,4.1
 ,"041 Ballybeg, Co. Wexford",557,596,304,292,39,7
 ,"042 Ballycanew, Co. Wexford",1102,1158,576,582,56,5.1
 ,"043 Ballyellis, Co. Wexford",373,412,223,189,39,10.5
 ,"044 Ballygarrett, Co. Wexford",831,826,410,416,-5,-0.6
 ,"045 Ballylarkin, Co. Wexford",837,854,403,451,17,2
 ,"046 Ballynestragh, Co. Wexford",1087,1196,614,582,109,10
 ,"047 Cahore, Co. Wexford",415,440,227,213,25,6
 ,"048 Coolgreany, Co. Wexford",1080,1142,571,571,62,5.7
 ,"049 Courtown, Co. Wexford",2317,2622,1285,1337,305,13.2
 ,"050 Ford, Co. Wexford",538,538,260,278,0,0
 ,"051 Gorey Rural, Co. Wexford",6161,6861,3312,3549,700,11.4
 ,"052 Gorey Urban, Co. Wexford",3463,3505,1702,1803,42,1.2
 ,"053 Huntingtown, Co. Wexford",319,316,162,154,-3,-0.9
 ,"054 Kilcomb, Co. Wexford",1036,1092,539,553,56,5.4
 ,"055 Kilgorman, Co. Wexford",803,830,417,413,27,3.4
 ,"056 Killenagh, Co. Wexford",549,549,281,268,0,0
 ,"057 Killincooly, Co. Wexford",543,607,293,314,64,11.8
 ,"058 Kilnahue, Co. Wexford",409,447,233,214,38,9.3
 ,"059 Limerick, Co. Wexford",835,943,473,470,108,12.9
 ,"060 Monamolin, Co. Wexford",754,787,401,386,33,4.4
 ,"061 Monaseed, Co. Wexford",636,681,345,336,45,7.1
 ,"062 Rossminoge, Co. Wexford",564,609,325,284,45,8
 ,"063 Wells, Co. Wexford",755,762,391,371,7,0.9
 ,"064 Wingfield, Co. Wexford",937,962,463,499,25,2.7
 ,"New Ross rural area, Co. Wexford",20390,20505,10193,10312,115,0.6
 ,"065 Adamstown, Co. Wexford",550,595,307,288,45,8.2
 ,"066 Ballyanne, Co. Wexford",785,792,393,399,7,0.9
 ,"067 Ballyhack, Co. Wexford",1302,1237,619,618,-65,-5
 ,"068 Barrack Village, Co. Wexford",92,78,37,41,-14,-15.2
 ,"069 Barronstown, Co. Wexford",580,582,302,280,2,0.3
 ,"070 Carnagh, Co. Wexford",505,523,259,264,18,3.6
 ,"071 Carrickbyrne, Co. Wexford",534,559,282,277,25,4.7
 ,"072 Clongeen, Co. Wexford",911,891,424,467,-20,-2.2
 ,"073 Clonleigh, Co. Wexford",448,420,203,217,-28,-6.3
 ,"074 Dunmain, Co. Wexford",324,328,164,164,4,1.2
 ,"075 Fethard, Co. Wexford",890,849,419,430,-41,-4.6
 ,"076 Horetown, Co. Wexford",561,558,285,273,-3,-0.5
 ,"077 Inch, Co. Wexford",508,550,270,280,42,8.3
 ,"078 Kilgarvan, Co. Wexford",372,375,180,195,3,0.8
 ,"079 Killesk, Co. Wexford",713,686,348,338,-27,-3.8
 ,"080 Kilmokea, Co. Wexford",814,843,414,429,29,3.6
 ,"081 Newbawn, Co. Wexford",564,567,288,279,3,0.5
 ,"082 New Ross Rural, Co. Wexford",4014,3963,1943,2020,-51,-1.3
 ,"083 Oldcourt, Co. Wexford",704,735,357,378,31,4.4
 ,"084 Old Ross, Co. Wexford",449,473,235,238,24,5.3
 ,"085 Rathroe, Co. Wexford",838,828,413,415,-10,-1.2
 ,"086 Rochestown, Co. Wexford",235,247,129,118,12,5.1
 ,"087 Templeludigan, Co. Wexford",403,443,224,219,40,9.9
 ,"088 Templetown, Co. Wexford",585,577,283,294,-8,-1.4
 ,"089 Tintern, Co. Wexford",1539,1603,791,812,64,4.2
 ,"090 Whitechurch, Co. Wexford",586,631,325,306,45,7.7
 ,"091 Whitemoor, Co. Wexford",584,572,299,273,-12,-2.1
 ,"Wexford rural area, Co. Wexford",29592,30160,14668,15492,568,1.9
 ,"092 Ardcavan (Part Rural), Co. Wexford",2461,2677,1235,1442,216,8.8
 ,"093 Ardcolm, Co. Wexford",889,945,458,487,56,6.3
 ,"094 Artramon, Co. Wexford",660,642,321,321,-18,-2.7
 ,"095 Aughwilliam, Co. Wexford",522,528,259,269,6,1.1
 ,"096 Ballymitty, Co. Wexford",529,524,272,252,-5,-0.9
 ,"097 Bannow, Co. Wexford",1194,1111,531,580,-83,-7
 ,"098 Bridgetown, Co. Wexford",855,869,437,432,14,1.6
 ,"099 Carrick (Part Rural), Co. Wexford",1475,1455,726,729,-20,-1.4
 ,"100 Drinagh (Part Rural), Co. Wexford",986,948,448,500,-38,-3.9
 ,"101 Duncormick, Co. Wexford",615,626,316,310,11,1.8
 ,"102 Forth, Co. Wexford",863,827,400,427,-36,-4.2
 ,"103 Glynn, Co. Wexford",564,582,285,297,18,3.2
 ,"104 Harperstown, Co. Wexford",497,527,279,248,30,6
 ,"105 Harristown, Co. Wexford",514,507,246,261,-7,-1.4
 ,"106 Kilbride, Co. Wexford",300,311,147,164,11,3.7
 ,"107 Kilcowan, Co. Wexford",521,491,244,247,-30,-5.8
 ,"108 Killag, Co. Wexford",445,451,207,244,6,1.3
 ,"109 Killinick, Co. Wexford",836,876,448,428,40,4.8
 ,"110 Killurin, Co. Wexford",705,710,347,363,5,0.7
 ,"111 Kilmore, Co. Wexford",2206,2240,1125,1115,34,1.5
 ,"112 Kilpatrick, Co. Wexford",741,807,370,437,66,8.9
 ,"113 Kilscoran, Co. Wexford",967,955,467,488,-12,-1.2
 ,"114 Lady's Island, Co. Wexford",571,620,318,302,49,8.6
 ,"115 Mayglass, Co. Wexford",576,619,311,308,43,7.5
 ,"116 Newcastle, Co. Wexford",501,521,275,246,20,4
 ,"117 Rathaspick (Part Rural), Co. Wexford",1703,1735,843,892,32,1.9
 ,"118 Rosslare, Co. Wexford",2057,2136,969,1167,79,3.8
 ,"119 St. Helen's, Co. Wexford",2093,2242,1079,1163,149,7.1
 ,"120 Tacumshin, Co. Wexford",528,527,269,258,-1,-0.2
 ,"121 Taghmon, Co. Wexford",1078,1021,485,536,-57,-5.3
 ,"122 Tomhaggard, Co. Wexford",594,585,280,305,-9,-1.5
 ,"123 Wexford Rural (Part Rural), Co. Wexford",61,46,21,25,-15,-24.6
 ,"124 Whitechurch, Co. Wexford",485,499,250,249,14,2.9
 ,Wicklow,136640,142332,70136,72196,5692,4.2
 ,Arklow Town,12770,12967,6328,6639,197,1.5
