CANDIDATES FOR LOCAL ELECTIONS 2004,,,,,,,,,,,,
Local Electoral Area,Last Name,Party,Full Name,Address ,Occupation,Passes,,,,,,
Finglas,Kelly,Fianna Fáil,Liam Kelly,Dublin 11,Educational Worker/City Councillor,,,,,,,
Finglas,Martin,The Workers' Party,Owen Martin,Dublin 11,Hospital Worker,,,,,,,
Finglas,McAuliffe,Progressive Democrats,Paul McAuliffe,Dublin 11,Business Manager,,,,,,,
Finglas,Meagher,Green Party/Comhaontas Glas,Michael Aidan Meagher,Dublin 11,Retired Secondary Teacher,,,,,,,
Finglas,Murphy,The Labour Party,Mary Murphy,Dublin 11,Public Representative,,,,,,,
Finglas,O'Neill,Non-party,John O'Neill,Dublin 11,Community Worker,,,,,,,
Finglas,Sludds,Sinn Féin,Sandra Sludds,Dublin 11,Secretary,,,,,,,
Finglas,Sludds,Fianna Fáil,Conor Sludds,Dublin 11,Youth Training Manager/City Councillor,,,,,,,
Finglas,Tormey,Fine Gael,Bill Tormey,Dublin 11,Hospital Doctor,,,,,,,
North Inner City,Beggs,Non-party,Ernie Beggs,Dublin 11,Peace Commissioner,,,,,,,
North Inner City,Burke,Sinn Féin,Christy Burke,Dublin 3,Full Time Public Representative,,,,,,,
North Inner City,Costello,The Labour Party,Emer Costello,Dublin 7,Programme Manager/Councillor,,,,,,,
North Inner City,Fitzpatrick,Fianna Fáil,Marguerite Fitzpatrick,North Brunswick Street,Public Servant,,,,,,,
North Inner City,Gallagher,Non-party,Michael Gallagher,Dublin 1,Photographer,,,,,,,
North Inner City,Kangley,Non-party,Paul Kangley,Dublin 7,Electrician,,,,,,,
North Inner City,Kearney,Green Party/Comhaontas Glas,Philip Kearney,Dublin 3,Family Therapist,,,,,,,
North Inner City,Mac Annraoi,Sinn Féin,Ciarán Mac Annraoi,Dublin 7,Manager in Telecom Sector,,,,,,,
North Inner City,Mooney,,Joe Mooney,Dublin 3,Landscape Gardener,,,,,,,
North Inner City,Ní Fhaoláin,Fine Gael,Valerie Ní Fhaoláin,Dublin 7,Financial Analyst,,,,,,,
North Inner City,O' Loughlin,Comhar Críostaí/The Christian Solidarity Party,Paul O'Loughlin,Dublin 7,Shop Assistant,,,,,,,
North Inner City,O’ Ríordáin,The Labour Party,Aodhán Ó’Ríordáin,Dublin 3,Primary Teacher,,,,,,,
North Inner City,Rafferty,,Mick Rafferty,Dublin 1,Community Development Worker,,,,,,,
North Inner City,Ring,Fianna Fáil,Nial Ring,Dublin 3,Accountant,,,,,,,
North Inner City,Stafford,Fianna Fáil,Tom Stafford,Dublin 1,Company Director/Public Representative,,,,,,,
Pembroke,Andrews,Fianna Fáil,Chris Andrews,Dublin 16,Sales Representative,,,,,,,
Pembroke,Creighton,Fine Gael,Lucinda Creighton,Dublin 4,Public Relations Consultant,,,,,,,
Pembroke,Hederman,Progressive Democrats,Wendy Hederman,Dublin 6,Solicitor,,,,,,,
Pembroke,Lacey,The Labour Party,Dermot Lacey,Dublin 4,Public Representative,,,,,,,
Pembroke,McCartan,Fine Gael,Paddy McCartan,Dublin 2,Ophthalmic Optician,,,,,,,
Pembroke,Pembroke,Sinn Féin,Sinead Pembroke,Dublin 14,Student,,,,,,,
Pembroke,Turley,Fianna Fáil,Michael Turley,Dublin 4,Software Engineer,,,,,,,
Pembroke,Wheeler,Green Party/Comhaontas Glas,Claire Wheeler,Dublin 4,Public Representative,,,,,,,
Rathmines,Connolly,Socialist Workers' Party (S.W.P.),Terry Connolly,Dublin 6W,Library Assistant,,,,,,,
Rathmines,Donnelly,Fianna Fáil,Michael Donnelly,Dublin 16,Public Representative,,,,,,,
Rathmines,Freehill,The Labour Party,Mary Freehill,Dublin 6,Senior Area Executive,,,,,,,
Rathmines,Gillen,Fine Gael,Brian Gillen,Dublin 6,HR Company Manager,,,,,,,
Rathmines,Meade,Green Party/Comhaontas Glas,Ryan Meade,Dublin 12,Internet Consultant and Public Representative,,,,,,,
Rathmines,Ó Sé,Sinn Féin,Eoin Ó Sé,Dublin 14,Chef,,,,,,,
Rathmines,O'Callaghan,Fianna Fáil,Jim O'Callaghan,Dublin 6,Barrister,,,,,,,
Rathmines,Quinn,The Labour Party,Oisín Quinn,Dublin 6,Barrister,,,,,,,
