Cork North Central;Ted Tynan;M;W.P.;1419
Meath East;Sarah Tyrrell;F;R.I.;523
Dublin West;Leo Varadkar;M;F.G.;8247
Wexford;Deirdre Wadding;F;AAA-PBP;1472
Kildare South;Mark Wall;M;LAB.;4277
Carlow Kilkenny;Adrienne Wallace;F;AAA-PBP;1582
Wexford;Mick Wallace;M;I.4.C;7917
Wexford;Ann Walsh;F;G.P.;1056
Waterford;John D Walsh;M;NON-P.;858
Carlow Kilkenny;Noel G. Walsh;M;NON-P.;164
Dublin South West;Karen Warren;F;F.G.;1088
Louth;Garrett Weldon;M;AAA-PBP;3462
Laois;John Whelan;M;LAB.;2856
Dublin Rathdown;Alex White;M;LAB.;4048
Dublin Rathdown;Mary White;F;F.F.;4220
Dun Laoghaire;Raymond Whitehead;M;D.D.I.;213
Cavan Monaghan;John Wilson;M;NON-P.;1023
Louth;Maeve Yore;F;NON-P.;2746
Kildare North;Brendan Young;M;NON-P.;1200
Dublin South West;Katherine Zappone;F;NON-P.;4463
