Galway East;Lorraine Higgins;F;LAB.;4531
Galway West;Mary Hoade;F;F.F.;2205
Wexford;Julie Hogan;F;F.G.;1214
Longford Westmeath;Paul Hogan;M;S.F.;5270
Dublin South West;Sarah Holland;F;S.F.;2616
Galway West;Tommy Holohan;M;AAA-PBP;1017
Roscommon Galway;Maura Hopkins;F;F.G.;6812
Cork South Central;Elizabeth Hourihane;F;NON-P.;304
Clare;Mary Howard;F;F.G.;2053
Wexford;Brendan Howlin;M;LAB.;10574
Dublin North West;BerNie Hughes;F;NON-P.;1120
Cavan Monaghan;Heather Humphreys;F;F.G.;12391
Dublin Bay South;Kevin Humphreys;M;LAB.;4205
Dun Laoghaire;Carol Hunt;F;NON-P.;3152
Wicklow;Katrina Hutchinson;F;D.D.I.;168
Longford Westmeath;Donal Jackson;M;NON-P.;51
Donegal;Tim Jackson;M;NON-P.;3580
Mayo;Peter Jordan;M;NON-P.;176
Mayo;Mohammad Kamal Uddin;M;NON-P.;144
Wicklow;Bob Kearns;M;NON-P.;112
Dublin South West;Pamela Kearns;F;LAB.;2635
Dublin Mid West;Derek Keating;M;F.G.;2337
Galway East;Colm Keaveney;M;F.F.;5436
Wicklow;Charlie Keddy;M;NON-P.;447
Dublin North West;Andrew Keegan;M;AAA-PBP;1434
Wexford;Paul Kehoe;M;F.G.;7696
Dublin Bay South;John DomiNic Keigher;M;NON-P.;37
Cork North Central;Billy Kelleher;M;F.F.;14286
Dublin Fingal;Terry Kelleher;M;AAA-PBP;2067
Tipperary;Alan Kelly;M;LAB.;7746
Roscommon Galway;John Kelly;M;LAB.;1211
Wexford;Leonard Kelly;M;S.D.;1635
Cork South Central;Ciaran Kenneally;M;R.I.;887
Kildare South;Mary Kennedy;F;R.I.;787
Donegal;Niamh Kennedy;F;NON-P.;1836
Mayo;Enda Kenny;M;F.G.;13318
Dublin Mid West;Gino Kenny;M;AAA-PBP;4629
Sligo Leitrim;Martin Kenny;M;S.F.;6356
Meath East;Sharon Keogan;F;NON-P.;1528
Limerick County;Mark Keogh;M;D.D.I.;222
Cork North Central;Ger Keohane;M;NON-P.;912
Roscommon Galway;Claire Kerrane;F;S.F.;3075
Dublin Mid West;Dr. Haroon Khan;M;NON-P.;268
Cork North Central;Thomas Kiely;M;NON-P.;473
Dublin Mid West;Tom Kivlehan;M;G.P.;388
Galway West;Sean Kyne;M;F.G.;6136
Dublin South West;John Lahart;M;F.F.;9647
Meath West;Alan Lawes;M;D.D.I.;1279
Kildare North;James Lawless;M;F.F.;7461
Kildare North;Anthony Lawlor;M;F.G.;5406
Offaly;John Leahy;M;R.I.;4596
Dublin Mid West;Clare Leonard;F;NON-P.;358
Cork  East;Ciara Leonardi-Roche;F;AAA-PBP;1999
Cork  East;Mary Linehan-Foley;F;NON-P.;3145
Wexford;David Lloyd;M;D.D.I.;128
Tipperary;Michael Lowry;M;NON-P.;13064
Cork South Central;Ciaran Lynch;M;LAB.;2417
Dublin Bay South;Glenna Lynch;F;S.D.;2652
Clare;Ian Lynch;M;NON-P.;1494
Cork North Central;Kathleen Lynch;F;LAB.;3723
Dublin Bay North;John Lyons;M;AAA-PBP;4409
Dublin North West;John Lyons;M;LAB.;2750
Carlow Kilkenny;Conor Mac Liam;M;AAA-PBP;1120
Sligo Leitrim;Chris Mac Manus;M;S.F.;4747
Dublin Bay North;MIcheal Macdonncha;M;S.F.;3527
Donegal;Padraig MacLochlainn;M;S.F.;5742
Sligo Leitrim;Marc MacSharry;M;F.F.;8856
Dublin Bay South;Alan Macstiofain;M;NON-P.;235
Dublin Rathdown;Josepha Madigan;F;F.G.;6668
Longford Westmeath;Manchan Magan;M;G.P.;1102
Meath West;John Malone;M;NON-P.;439
Wexford;David Maloney;M;NON-P.;476
Dublin South West;Eamonn Maloney;M;NON-P.;1627
Cork North West;Cormac ManNing;M;G.P.;1354
Carlow Kilkenny;Paddy ManNing;M;NON-P.;1078
Mayo;Stephen ManNing;M;NON-P.;157
Dublin Fingal;Barry Martin;M;I.4.C;2412
Dublin Rathdown;Catherine Martin;F;G.P.;4122
Cork South Central;Micheal Martin;M;F.F.;11346
Dublin Rathdown;Peter Mathews;M;NON-P.;2021
Wicklow;Steven Matthews;M;G.P.;1350
Dublin North West;Paul Mcauliffe;M;F.F.;4750
Donegal;Frank McBrearty;M;NON-P.;1914
Cork  East;Kieran McCarthy;M;NON-P.;1635
Cork South West;Michael McCarthy;M;LAB.;3035
Cork  East;Noel McCarthy;M;F.G.;4406
Cork South West;Rachel McCarthy;F;S.F.;3656
Donegal;Charlie McConalogue;M;F.F.;12533
Cavan Monaghan;Michael McDermott;M;D.D.I.;475
Clare;Michael Malty McDonagh;M;F.F.;4726
